name,phone,address,city,state,zip,latitude,longitude,county
BALDWIN CO HIGH SCH,2519372341,ONE TIGER DR,BAY MINETTE,AL,36507,30.894183,-87.792459,BALDWIN COUNTY
SPANISH FORT HIGH SCH,2516216629,ONE PLAZA DE TOROS,SPANISH FORT,AL,36527,30.688661,-87.854082,BALDWIN COUNTY
BARBOUR CO HIGH SCH,3347753545,P O BOX 339,CLAYTON,AL,36016,31.867887,-85.44612,BARBOUR COUNTY
JESS LANIER HIGH SCH,2054323700,100 HIGH SCHOOL DR,BESSEMER,AL,35022,33.36812,-86.983486,JEFFERSON COUNTY
BIBB CO HIGH SCH,2059269071,220 BIRMINGHAM RD,CENTREVILLE,AL,35042,32.949227,-87.144407,BIBB COUNTY
WEST BLOCTON HIGH SCH,2059389002,4734 TRUMAN ALDRICH PARKWAY,WEST BLOCTON,AL,35184,33.119721,-87.128483,BIBB COUNTY
BIBB CO JR HIGH SCH,2059267751,721 WALNUT ST,CENTREVILLE,AL,35042,32.944733,-87.142732,BIBB COUNTY
HAYES HIGH SCH,2052318440,505 43RD ST N,BIRMINGHAM,AL,35222,33.531557,-86.772767,JEFFERSON COUNTY
WOODLAWN HIGH ALT CTR,2052318000,5620 1ST AVE N,BIRMINGHAM,AL,35212,33.541263,-86.751359,JEFFERSON COUNTY
HUFFMAN HIGH SCH-MAGNET,2052315000,950 SPRINGVILLE RD,BIRMINGHAM,AL,35215,33.611209,-86.681938,JEFFERSON COUNTY
JACKSON-OLIN HIGH SCH,2052316431,510 12TH STREET,BIRMINGHAM,AL,35218,33.519543,-86.891723,JEFFERSON COUNTY
PARKER HIGH SCH,2052312370,900 4TH ST N,BIRMINGHAM,AL,35204,33.515778,-86.829907,JEFFERSON COUNTY
RAMSAY HIGH SCH,2052317000,1800 13TH AVE S,BIRMINGHAM,AL,35205,33.49781,-86.796931,JEFFERSON COUNTY
WENONAH HIGH SCH,2052311660,2800-WILSON RD SW,BIRMINGHAM,AL,35221,33.455858,-86.882848,JEFFERSON COUNTY
WEST END HIGH SCH,2052311740,1840 PEARSON AVE,BIRMINGHAM,AL,35211,33.483808,-86.867323,JEFFERSON COUNTY
WOODLAWN HIGH SCH-MAGNET,2055998700,5620 1S ST AVE N,BIRMINGHAM,AL,35212,33.542212,-86.752089,JEFFERSON COUNTY
CITY HIGH SCH,2058080001,P O BOX 10007,BIRMINGHAM,AL,35202,33.514806,-86.78956,JEFFERSON COUNTY
GEORGE WASHINGTON CARVER HIGH SCH,2052313900,3900 24TH ST N,BIRMINGHAM,AL,35207,33.559265,-86.823287,JEFFERSON COUNTY
ENSLEY HIGH ALT CTR,2052316250,1303 AVE F,BIRMINGHAM,AL,35218,33.517865,-86.891599,JEFFERSON COUNTY
FAMILY COURT HIGH SCH,2055834891,P O BOX 10007,BIRMINGHAM,AL,35202,33.50449,-86.833463,JEFFERSON COUNTY
HOMEBOUND HIGH SCH,2052515096,417 29TH ST S,BIRMINGHAM,AL,35223,33.514806,-86.78956,JEFFERSON COUNTY
CLEVELAND HIGH SCH,2052749915,71 HIGH SCHOOL ST,CLEVELAND,AL,35049,33.992909,-86.573299,BLOUNT COUNTY
HAYDEN HIGH SCH,2056470397,125 ATWOOD ROAD,HAYDEN,AL,35079,33.887145,-86.766505,BLOUNT COUNTY
JB PENNINGTON HIGH SCH,2054294101,81 COLLEGE ST,BLOUNTSVILLE,AL,35031,34.071794,-86.586887,BLOUNT COUNTY
LOCUST FORK HIGH SCH,2056817846,77 SCHOOL RD,LOCUST FORK,AL,35097,33.908537,-86.617404,BLOUNT COUNTY
SUSAN MOORE HIGH SCH,2054667663,4040 SUSAN MOORE RD,BLOUNTSVILLE,AL,35031,34.084056,-86.430789,BLOUNT COUNTY
TR MILLER HIGH SCH,2518678430,1835 DOUGLAS AVE,BREWTON,AL,36426,31.137235,-87.06884,ESCAMBIA COUNTY
BULLOCK CO HIGH SCH,3347382198,P O BOX 5108,UNION SPRINGS,AL,36089,32.129788,-85.72279,BULLOCK COUNTY
SOUTH HIGHLANDS MIDDLE SCH,3347382896,P O BOX 111,UNION SPRINGS,AL,36089,32.1326,-85.719296,BULLOCK COUNTY
GEORGIANA HIGH SCH,3343769130,BOX 680,GEORGIANA,AL,36033,31.642297,-86.741465,BUTLER COUNTY
GREENVILLE HIGH SCH,3343822608,100 TIGER DR,GREENVILLE,AL,36037,31.830521,-86.652293,BUTLER COUNTY
MCKENZIE HIGH SCH,3343742711,PO BOX 158,MCKENZIE,AL,36456,31.545443,-86.714167,BUTLER COUNTY
ALEXANDRIA HIGH SCH,2567414400,P O BOX 180,ALEXANDRIA,AL,36250,33.774358,-85.885674,CALHOUN COUNTY
OHATCHEE HIGH SCH,2567414900,100 CHEROKEE TRL,OHATCHEE,AL,36271,33.784397,-86.002848,CALHOUN COUNTY
SAKS HIGH SCH,2567417000,4401 SAKS RD,ANNISTON,AL,36206,33.70179,-85.837649,CALHOUN COUNTY
WEAVER HIGH SCH,2567417200,917 CLAIRMONT DR,WEAVER,AL,36277,33.74786,-85.845876,CALHOUN COUNTY
WHITE PLAINS HIGH SCH,2567417800,250 WHITE PLAINS RD,ANNISTON,AL,36207,33.745183,-85.687419,CALHOUN COUNTY
PLEASANT VALLEY HIGH SCH,2567416700,4141 PLEASANT VALLEY RD,JACKSONVILLE,AL,36265,33.854595,-85.813325,CALHOUN COUNTY
WELLBORN HIGH SCH,2567417600,135 PINSON RD,ANNISTON,AL,36201,33.652627,-85.883053,CALHOUN COUNTY
LAFAYETTE HIGH SCH,3348649881,214 1ST AVE SE,LAFAYETTE,AL,36862,32.899103,-85.398263,CHAMBERS COUNTY
VALLEY HIGH SCH,3347564105,501 HIGHWAY 29,VALLEY,AL,36854,32.803601,-85.179968,CHAMBERS COUNTY
CEDAR BLUFF HIGH SCH,2567796211,3655 OLD HIGHWAY 9,CEDAR BLUFF,AL,35959,34.219746,-85.604537,CHEROKEE COUNTY
CHEROKEE CO HIGH SCH,2569273625,910 WARRIOR DR,CENTRE,AL,35960,34.164621,-85.659208,CHEROKEE COUNTY
GAYLESVILLE HIGH SCH,2564223401,760 TROJAN WAY,GAYLESVILLE,AL,35973,34.270727,-85.561576,CHEROKEE COUNTY
SAND ROCK HIGH SCH,2565233564,1950 SAND ROCK AVENUE,SAND ROCK,AL,35983,34.239937,-85.767734,CHEROKEE COUNTY
SPRING GARDEN HIGH SCH,2564477045,BOX 31,SPRING GARDEN,AL,36275,33.985365,-85.542891,CHEROKEE COUNTY
ISABELLA HIGH SCH,2052802770,11338 COUNTY ROAD 15,MAPLESVILLE,AL,36750,32.835198,-86.800679,CHILTON COUNTY
JEMISON HIGH SCH,2052804860,25195 US HIGHWAY 31,JEMISON,AL,35085,32.966374,-86.74775,CHILTON COUNTY
MAPLESVILLE HIGH SCH,3343662991,1256 AL HIGHWAY 139,MAPLESVILLE,AL,36750,32.808597,-86.880655,CHILTON COUNTY
THORSBY HIGH SCH,2052804880,54 OPPORTUNITY DR,THORSBY,AL,35171,32.914696,-86.716395,CHILTON COUNTY
VERBENA HIGH SCH,2052802820,202 COUNTY ROAD 510,VERBENA,AL,36091,32.74936,-86.509159,CHILTON COUNTY
CHILTON CO HIGH SCH,2052802710,1214 7TH ST S,CLANTON,AL,35045,32.820939,-86.613058,CHILTON COUNTY
CHOCTAW CO HIGH SCH,2054592139,277 TOM ORR DRIVE,BUTLER,AL,36904,32.080565,-88.232877,CHOCTAW COUNTY
SOUTHERN CHOCTAW HIGH SCH,2518435645,10941 HIGHWAY 17,GILBERTOWN,AL,36908,31.829505,-88.312926,CHOCTAW COUNTY
CLARKE CO HIGH SCH,3342753368,BOX 937,GROVE HILL,AL,36451,31.707603,-87.774957,CLARKE COUNTY
COFFEEVILLE HIGH SCH,2512763227,P O BOX 130,COFFEEVILLE,AL,36524,31.759391,-88.089533,CLARKE COUNTY
JACKSON HIGH SCH,2512462571,321 STANLEY DR,JACKSON,AL,36545,31.549289,-87.883239,CLARKE COUNTY
CLAY CO HIGH SCH,2563547510,220 3RD ST SW,ASHLAND,AL,36251,33.271878,-85.839278,CLAY COUNTY
LINEVILLE HIGH SCH,2563962466,18 W MAIN ST,LINEVILLE,AL,36266,33.310586,-85.757667,CLAY COUNTY
CLEBURNE CO HIGH SCH,2564632012,520 EVANS BRIDGE RD,HEFLIN,AL,36264,33.648288,-85.570873,CLEBURNE COUNTY
RANBURNE HIGH SCH,2565683402,21045 MAIN ST,RANBURNE,AL,36273,33.522995,-85.345538,CLEBURNE COUNTY
ZION CHAPEL HIGH SCH,3348976275,29256 HIGHWAY 87,JACK,AL,36346,31.52934,-86.034424,COFFEE COUNTY
NEW BROCKTON HIGH SCH,3348942350,P.O. BOX 399,NEW BROCKTON,AL,36351,31.382643,-85.934299,COFFEE COUNTY
CHEROKEE HIGH SCH,2563594434,850 HIGH SCHOOL DR,CHEROKEE,AL,35616,34.765484,-87.964047,COLBERT COUNTY
COLBERT CO HIGH SCH,2564468214,2200 HIGH SCHOOL ST,LEIGHTON,AL,35646,34.696407,-87.525053,COLBERT COUNTY
COLBERT HEIGHTS HIGH SCH,2563837875,6825 WOODMONT DR,TUSCUMBIA,AL,35674,34.64345,-87.692966,COLBERT COUNTY
CONECUH CO JR HIGH SCH,2519665411,2347 CLEVELAND AVENUE,CASTLEBERRY,AL,36432,31.297181,-87.031286,CONECUH COUNTY
LYEFFION JR HIGH SCH,2515782800,7575 HIGHWAY 83,EVERGREEN,AL,36401,31.54161,-86.986605,CONECUH COUNTY
REPTON JR HIGH SCH,2512482960,2340 CONNALY STREET,REPTON,AL,36475,31.411486,-87.234571,CONECUH COUNTY
HILLCREST HIGH SCH,2515781126,1989 JAGUAR RD,EVERGREEN,AL,36401,31.434224,-86.940635,CONECUH COUNTY
CENTRAL HIGH SCH,2563774384,RT 2 BOX 62,ROCKFORD,AL,35136,32.996982,-86.201946,COOSA COUNTY
FLORALA HIGH SCH,3348583765,22114 BEGONIA ST,FLORALA,AL,36442,31.002795,-86.336865,COVINGTON COUNTY
RED LEVEL HIGH SCH,3344695315,P O DRAWER D,RED LEVEL,AL,36474,31.500432,-86.700407,COVINGTON COUNTY
STRAUGHN HIGH SCH,3342222511,29448 STRAUGHN SCHOOL ROAD,ANDALUSIA,AL,36421,31.387692,-86.416606,COVINGTON COUNTY
BRANTLEY HIGH SCH,3345278879,POST OFFICE BOX 86,BRANTLEY,AL,36009,31.590877,-86.255606,CRENSHAW COUNTY
HIGHLAND HOME HIGH SCH,3345374379,18434 MONTGOMERY HWY,HIGHLAND HOME,AL,36041,31.952547,-86.314008,CRENSHAW COUNTY
LUVERNE HIGH SCH,3343353331,194 FIRST AVE,LUVERNE,AL,36049,31.716328,-86.274392,CRENSHAW COUNTY
CULLMAN HIGH SCH,2567343923,510 13TH ST NE,CULLMAN,AL,35055,34.18901,-86.842208,CULLMAN COUNTY
COLD SPRINGS HIGH SCH,2562871787,P O BOX 130,BREMEN,AL,35033,33.982067,-87.031506,CULLMAN COUNTY
FAIRVIEW HIGH SCH,2567965106,841 WELCOME RD,CULLMAN,AL,35058,34.253991,-86.688543,CULLMAN COUNTY
GOOD HOPE HIGH SCH,2567343807,210 GOOD HOPE SCHOOL RD,CULLMAN,AL,35057,34.102061,-86.880811,CULLMAN COUNTY
HANCEVILLE HIGH SCH,2563526111,801 COMMERCIAL ST,HANCEVILLE,AL,35077,34.061665,-86.76012,CULLMAN COUNTY
HOLLY POND HIGH SCH,2567965169,160 NEW HOPE ROAD,HOLLY POND,AL,35083,34.176972,-86.619805,CULLMAN COUNTY
VINEMONT HIGH SCH,2567340571,P O BOX 189,VINEMONT,AL,35179,34.242833,-86.863026,CULLMAN COUNTY
WEST POINT HIGH SCH,2567345375,4314 COUNTY ROAD 1141,CULLMAN,AL,35057,34.239213,-86.958248,CULLMAN COUNTY
DALE CO HIGH SCH,3349833541,P O BOX 1140,MIDLAND CITY,AL,36350,31.320654,-85.504214,DALE COUNTY
GEORGE W LONG HIGH SCH,3347742380,2565 CO RD 60,SKIPPERVILLE,AL,36374,31.558576,-85.550963,DALE COUNTY
DALEVILLE HIGH SCH,3345984461,626 N DALEVILLE AVE,DALEVILLE,AL,36322,31.315019,-85.711323,DALE COUNTY
DALLAS CO HIGH SCH,3343662232,P O BOX 145,PLANTERSVILLE,AL,36758,32.662119,-86.930304,DALLAS COUNTY
KEITH MIDDLE-HIGH SCH,3348754155,1166 DALLAS ROAD 115,ORRVILLE,AL,36767,32.291937,-87.235877,DALLAS COUNTY
SOUTHSIDE HIGH SCH,3348720518,7975 US HIGHWAY 80 E,SELMA,AL,36701,32.324571,-86.911552,DALLAS COUNTY
COLLINSVILLE HIGH SCH,2565242111,P O BOX 269,COLLINSVILLE,AL,35961,34.254021,-85.867856,DEKALB COUNTY
FYFFE HIGH SCH,2566232116,P O BOX 7,FYFFE,AL,35971,34.448715,-85.903534,DEKALB COUNTY
HENAGAR JR HIGH SCH,2566574483,P O BOX 69,HENAGAR,AL,35978,34.634847,-85.768936,DEKALB COUNTY
RUHUMA JR HIGH SCH,2568453377,3371 COUNTY ROAD 81,FT PAYNE,AL,35967,34.374304,-85.775035,DEKALB COUNTY
VALLEY HEAD HIGH SCH,2566356228,P O BOX 145,VALLEY HEAD,AL,35989,34.564106,-85.615141,DEKALB COUNTY
CROSSVILLE HIGH SCH,2565287858,5405 CO ROAD 28,CROSSVILLE,AL,35962,34.341546,-86.021402,DEKALB COUNTY
AUSTIN HIGH SCH,2565523060,1625 DANVILLE RD SW,DECATUR,AL,35601,34.581619,-87.0033,MORGAN COUNTY
DECATUR HIGH SCH,2565523011,1011 PROSPECT DR SE,DECATUR,AL,35601,34.595927,-86.975473,MORGAN COUNTY
HORIZON HIGH SCH,2565523054,809 CHURCH ST NE,DECATUR,AL,35601,34.607888,-86.97673,MORGAN COUNTY
DEMOPOLIS HIGH SCH,3342890294,701 HIGHWAY 80 W,DEMOPOLIS,AL,36732,32.498652,-87.845971,MARENGO COUNTY
DOTHAN HIGH SCH,3347941400,1236 S OATES ST,DOTHAN,AL,36301,31.209835,-85.39315,HOUSTON COUNTY
HIGHLANDS ELEM SCH,3347941459,1400 S BRANNON STAND RD,DOTHAN,AL,36305,31.227219,-85.482003,HOUSTON COUNTY
NORTHVIEW HIGH SCH,3347941410,3209 REEVES ST,DOTHAN,AL,36303,31.266546,-85.38023,HOUSTON COUNTY
ELBA HIGH SCH,3348972266,371 TIGER DR,ELBA,AL,36323,31.422824,-86.104192,COFFEE COUNTY
ELMORE CO HIGH SCH,3345413662,155 N COLLEGE ST,ECLECTIC,AL,36024,32.633691,-86.030122,ELMORE COUNTY
HOLTVILLE HIGH SCH,3345693034,10425 HOLTVILLE RD,DEATSVILLE,AL,36022,32.636114,-86.323039,ELMORE COUNTY
STANHOPE ELMORE HIGH SCH,3342854263,4300 MAIN ST,MILLBROOK,AL,36054,32.492052,-86.365453,ELMORE COUNTY
WETUMPKA HIGH SCH,3345675158,1251 COOSA RIVER PKWY,WETUMPKA,AL,36092,32.55082,-86.22079,ELMORE COUNTY
MILLBROOK MIDDLE JR HIGH SCH,3342852100,4228 CHAPMAN RD,MILLBROOK,AL,36054,32.499908,-86.361942,ELMORE COUNTY
WETUMPKA JR HIGH SCH,3345671247,409 N ALABAMA ST,WETUMPKA,AL,36092,32.542701,-86.210652,ELMORE COUNTY
DAUPHIN JR HIGH SCH,3343471141,425 DAUPHIN ST,ENTERPRISE,AL,36330,31.334675,-85.855107,COFFEE COUNTY
ENTERPRISE HIGH SCH,3343472640,P O BOX 312070,ENTERPRISE,AL,36331,31.324364,-85.854291,COFFEE COUNTY
ENTERPRISE JR HIGH SCH,3343471733,401 W COLLEGE ST,ENTERPRISE,AL,36330,31.312073,-85.857802,COFFEE COUNTY
ESCAMBIA CO HIGH SCH,2513689181,1215 S PRESLEY ST,ATMORE,AL,36502,31.006005,-87.487716,ESCAMBIA COUNTY
FLOMATON HIGH SCH,2512962627,21200 HIGHWAY 31,FLOMATON,AL,36441,31.006617,-87.269985,ESCAMBIA COUNTY
MCCALL JR HIGH SCH,2518674070,3975 OLD HIGHWAY 31,BREWTON,AL,36426,31.060714,-87.169844,ESCAMBIA COUNTY
W S NEAL HIGH SCH,2518674225,801 ANDREW JACKSON ST,EAST BREWTON,AL,36426,31.093081,-87.055777,ESCAMBIA COUNTY
GASTON HIGH SCH,2565478828,4550 US HIGHWAY 411,GADSDEN,AL,35901,34.067689,-85.926499,ETOWAH COUNTY
GLENCOE HIGH SCH,2564922250,803 LONESOME BEND RD,GLENCOE,AL,35905,33.967577,-85.934535,ETOWAH COUNTY
HIGHLAND ELEM SCH,2565467409,3156 TABOR RD,GADSDEN,AL,35904,34.079078,-85.990833,ETOWAH COUNTY
SARDIS HIGH SCH,2565935221,1420 CHURCH ST,SARDIS CITY,AL,35956,34.175013,-86.122928,ETOWAH COUNTY
SOUTHSIDE HIGH SCH,2564422172,2150 HIGHWAY 77,SOUTHSIDE,AL,35907,33.920119,-86.022203,ETOWAH COUNTY
WEST END HIGH SCH,2055896421,4515 ELM ST,WALNUT GROVE,AL,35990,34.066758,-86.303197,ETOWAH COUNTY
HOKES BLUFF HIGH SCH,2564921360,1865 APPALACHIA RD,HOKES BLUFF,AL,35903,34.036426,-85.869764,ETOWAH COUNTY
ETOWAH CO ALT HIGH SCH,2564392972,P.O. BOX 286 600 VALLEY ST,GADSDEN,AL,35902,34.02291,-85.996348,ETOWAH COUNTY
EUFAULA HIGH SCH,3346871110,530 LAKE DR,EUFAULA,AL,36027,31.917016,-85.137674,BARBOUR COUNTY
FAIRFIELD HIGH PREPARATORY SCH,2057855176,610 VALLEY RD,FAIRFIELD,AL,35064,33.49013,-86.908154,JEFFERSON COUNTY
BERRY HIGH SCH,2056894467,18242 HIGHWAY 18 E,BERRY,AL,35546,33.660031,-87.599771,FAYETTE COUNTY
FAYETTE CO HIGH SCH,2059326313,202 TIGER DRIVE,FAYETTE,AL,35555,33.707041,-87.820987,FAYETTE COUNTY
FLORENCE HIGH SCH,2567682200,1201 BRADSHAW DR,FLORENCE,AL,35630,34.833595,-87.664331,LAUDERDALE COUNTY
FORT PAYNE HIGH SCH,2568450535,201 45TH ST NE,FORT PAYNE,AL,35967,34.486282,-85.675255,DEKALB COUNTY
BELGREEN HIGH SCH,2563321376,14220 HWY 187,RUSSELLVILLE,AL,35653,34.473744,-87.865961,FRANKLIN COUNTY
EAST FRANKLIN JR HIGH SCH,2563312140,1815 HWY 89,PHIL CAMPBELL,AL,35581,34.383691,-87.598787,FRANKLIN COUNTY
PHIL CAMPBELL HIGH SCH,2563312150,P O BOX 849,PHIL CAMPBELL,AL,35581,34.349346,-87.707552,FRANKLIN COUNTY
RED BAY HIGH SCH,2563312270,P O BOX 1518,RED BAY,AL,35582,34.434549,-88.137629,FRANKLIN COUNTY
VINA HIGH SCH,2563312260,P O BOX 36,VINA,AL,35593,34.373966,-88.05959,FRANKLIN COUNTY
THARPTOWN HIGH SCH,2563323404,255 HIGHWAY 80,RUSSELLVILLE,AL,35654,34.525066,-87.619225,FRANKLIN COUNTY
GADSDEN CITY HIGH SCH,2565433614,1917 BLACK CREEK PARKWAY,GADSDEN,AL,35904,34.0298,-86.0351,ETOWAH COUNTY
GENEVA HIGH SCH,3346849379,505 PANTHER DR,GENEVA,AL,36340,31.042482,-85.879022,GENEVA COUNTY
GENEVA CO HIGH SCH,3345882943,301 LILY ST,HARTFORD,AL,36344,31.096279,-85.702071,GENEVA COUNTY
SAMSON HIGH SCH,3348982371,209 N BROAD ST,SAMSON,AL,36477,31.118862,-86.048947,GENEVA COUNTY
SLOCOMB HIGH SCH,3348862008,591 SOUTH COUNTY ROAD 9,SLOCOMB,AL,36375,31.099211,-85.602477,GENEVA COUNTY
GREENE CO HIGH SCH,2053723789,P O BOX 658,EUTAW,AL,35462,32.847767,-87.898587,GREENE COUNTY
PARAMOUNT JR HIGH SCH,2053368557,P O BOX 188,BOLIGEE,AL,35443,32.792049,-88.029211,GREENE COUNTY
GUNTERSVILLE HIGH SCH,2565822046,14227 HIGHWAY 431,GUNTERSVILLE,AL,35976,34.32118,-86.312357,MARSHALL COUNTY
GREENSBORO EAST HIGH SCH,3346249156,P O DRAWER 460,GREENSBORO,AL,36744,32.707194,-87.58748,HALE COUNTY
GREENSBORO WEST HIGH SCH,3346247932,P O BOX 40,GREENSBORO,AL,36744,32.702921,-87.60181,HALE COUNTY
HALE CO HIGH SCH,2053712514,P O BOX 188,MOUNDVILLE,AL,35474,32.999217,-87.620772,HALE COUNTY
SUNSHINE HIGH SCH,3346248747,3125 COUNTY ROAD 10,NEWBERN,AL,36765,32.565372,-87.579782,HALE COUNTY
GREENSBORO HIGH SCH,3346249156,P O DRAWER 460,GREENSBORO,AL,36744,32.707194,-87.58748,HALE COUNTY
HALEYVILLE HIGH SCH,2054863122,2001 20TH ST,HALEYVILLE,AL,35565,34.22612,-87.606251,WINSTON COUNTY
HARTSELLE JR HIGH SCH,2567736094,130 PETAIN ST SW,HARTSELLE,AL,35640,34.432657,-86.928507,MORGAN COUNTY
HARTSELLE HIGH SCH,2567735426,904 S SPARKMAN ST,HARTSELLE,AL,35640,34.45217,-86.940292,MORGAN COUNTY
ABBEVILLE HIGH SCH,3345852065,411 GRABALL CUTOFF,ABBEVILLE,AL,36310,31.581814,-85.278168,HENRY COUNTY
HEADLAND HIGH SCH,3346932442,8 SPORMAN ST,HEADLAND,AL,36345,31.349036,-85.34104,HENRY COUNTY
HOMEWOOD HIGH SCH,2058719663,1901 S LAKESHORE DR,HOMEWOOD,AL,35209,33.451262,-86.813076,JEFFERSON COUNTY
ASHFORD HIGH SCH,3348995411,607 CHURCH ST,ASHFORD,AL,36312,31.183669,-85.233137,HOUSTON COUNTY
COTTONWOOD HIGH SCH,3346912587,663 HOUSTON ST,COTTONWOOD,AL,36320,31.055682,-85.299728,HOUSTON COUNTY
HOUSTON CO HIGH SCH,3346962221,BOX 519,COLUMBIA,AL,36319,31.293053,-85.114472,HOUSTON COUNTY
REHOBETH HIGH SCH,3346777002,373 MALVERN ROAD,DOTHAN,AL,36301,31.123097,-85.456592,HOUSTON COUNTY
WICKSBURG HIGH SCH,3346925549,1172 S STATE HWY 123,NEWTON,AL,36352,31.223864,-85.631927,HOUSTON COUNTY
SR BUTLER HIGH SCH,2564287950,3401 HOLMES AVE,HUNTSVILLE,AL,35816,34.727841,-86.617288,MADISON COUNTY
VIRGIL GRISSOM HIGH SCH,2564288000,7901 BAILEY COVE RD,HUNTSVILLE,AL,35802,34.662305,-86.539323,MADISON COUNTY
HIGHLANDS ELEM SCH,2564287200,2500 BARNEY AVE,HUNTSVILLE,AL,35810,34.757247,-86.633705,MADISON COUNTY
HUNTSVILLE HIGH SCH,2564288050,2304 BILLIE WATKINS SW,HUNTSVILLE,AL,35801,34.716075,-86.582463,MADISON COUNTY
JO JOHNSON HIGH SCH,2564288100,6201 PUEBLO DR NW,HUNTSVILLE,AL,35810,34.797713,-86.601204,MADISON COUNTY
LEE HIGH SCH,2564288150,606 FOREST CIR NE,HUNTSVILLE,AL,35811,34.753287,-86.572787,MADISON COUNTY
NEW CENTURY TECH DEMO HIGH SCH,2564287800,300 EXPLORER BLVD.,HUNTSVILLE,AL,35806,34.723241,-86.695413,MADISON COUNTY
COLUMBIA HIGH SCHOOL,2564287576,300 EXPLORER BOULEVARD,HUNTSVILLE,AL,35806,34.723241,-86.695413,MADISON COUNTY
